Mixture,macrophages,mast,B.naive,B.memory,plasma,T.CD4.naive,T.CD4.memory,T.CD8.naive,T.CD8.memory,NK,pDCs,mDCs,monocytes.C,monocytes.NC.I,neutrophils,Treg,endothelial.cells,fibroblasts,P-value,Correlation,RMSE
ROI_079.dcc,0.102940154928746,0,0,0,0.0109430603790067,0,0,0,0,0.0754420618699439,0.0134673143837737,0,0.0679974364261356,0.11699698389025,0.312790516527579,0,0.14355092861631,0.155871542978255,0,0.279640612862914,0.960085752733518
ROI_080.dcc,0.394660752635044,0,0,0,0.0906790823059326,0.0125340528103931,0,0.0443864835480108,0.0964742688704052,0.0498647969380056,0,0.00626636751048828,0.147497944591082,0,0,0.0112506413926675,0,0.146385609397971,0,0.730268544831819,0.752337212680527
ROI_081.dcc,0.287444408101962,0,0,0,0.10103438107102,0,0,0.0311069525930223,0.0743342401414093,0,0.00308528173970646,0.0168673480001241,0.152419476448768,0,0.0382319293135312,0,0,0.295475982590457,0,0.880386516929119,0.556625440557945
ROI_082.dcc,0.0601817749027716,0,0.000479025374522607,0,0.0429771076922227,0,0.115906769156911,0,0.157968610994941,0.140924989509074,0.000664173799083909,0.0392201219662988,0,0,0,0.136855510663925,0.013879413818782,0.290942502121467,0,0.769792980383955,0.683374200429588
ROI_083.dcc,0.468449041152118,0.00359424863597012,0,0,0.087358255974745,0,0.0121336119172048,0,0,0.0593549477888247,0.00656950689583879,0,0.0192380652237979,0.0111288451900692,0.0844689383051978,0.0262865674880486,0.0445192904319158,0.176898680996269,0,0.662593625951903,0.792512010137755
ROI_084.dcc,0.0612259560896296,0,0,0,0.0633803623113458,0.11076255617159,0.21535526397409,0,0.0844319374847348,0.0451414499926958,0.0315476039965893,0.0284029067336179,0,0,0.200530664515756,0.0482496912118174,0.0920508835146088,0.0189207240035252,0,0.318662096285539,0.961549425791237
ROI_085.dcc,0.315862824848147,0,0,0,0.0958437453732263,0,0,0,0.0205500792605563,0.0147613382295335,0.0348376318678607,0.00490657789952295,0,0.0029443408868878,0.221528402282493,0.0139064062669558,0.0628380612010811,0.212020591883736,0,0.529152657358562,0.854916560798764
ROI_086.dcc,0,0.0186790588459064,0,0,0.0372360736536009,0,0,0,0.0197140361339035,0.251387246659351,0.0948536462230625,0.0312127292379225,0.031329351988404,0,0.412843559315525,0,0,0.102744297942324,0,0.235231942083689,0.970290773359646
ROI_087.dcc,0,0.0118560138417191,0,0.284704649712359,0,0,0,0,0,0.436527507984582,0.0430984393676037,0.00117613513522832,0.0201294437682635,0.0146589803370327,0,0,0,0.187848829853211,0,0.572211332686842,0.850767586299849
ROI_088.dcc,0,0,0,0,0.0053940156979475,0,0,0.031180076423308,0,0.0705078482310529,0.00603086128060807,0,0,0.0331567196156685,0.559560728963572,0.139854942445768,0.0485783263563241,0.105736480985751,0,0.355469741851314,0.947136326325483
ROI_089.dcc,0.208732363052973,0,0,0,0.129102052066221,0,0,0,0.215961399309674,0.0166642274174901,0.0433595330701691,0.0192729417372689,0,0.0119356454151292,0.0246851023776711,0.0387452877027366,0.0220716955899049,0.269469752260762,0,0.721232174046635,0.727193252287813
ROI_090.dcc,0.232429760552418,0,0,0,0.19834958557846,0,0,0,0.0298043503731721,0.013689884753444,0,0.0353047120012783,0,0.0587025254285577,0.0777273042224387,0.0257664324717857,0.0347794223237194,0.293446022294727,0,0.648257784567029,0.768307141661114
ROI_091.dcc,0.0931595194600985,0.0212065790027154,0,0.151909983359712,0.0363379713642149,0,0,0,0,0.0210973871624099,0,0.0217846028613018,0,0.0380557305928954,0,0.156936539812169,0,0.459511686384482,0,0.752303199018006,0.670211888303095
ROI_092.dcc,0.0126390509501651,0.00302140658238372,0.266985577307732,0.179600516987203,0.0687709888122795,0.121006231976995,0.225092489545684,0.010932446866107,0,0,0.01488510063651,0,0.0546990488650472,0,0,0,0.0223577631636636,0.0200093783062303,0,0.224209472787375,0.977839222155984
ROI_093.dcc,0.0990008325092255,0.0290795807575721,0,0.0240574726845534,0.0303123209637911,0,0.158481473602498,0,0.195226428317928,0.0920469242075551,0,0.0262830286805362,0.0210314208939838,0,0.0862371308274767,0,0.209399880866496,0.0288435056883835,0,0.393893663497958,0.937065407551364
